Item_Identifier,Item_MRP,Item_Outlet_Sales,Item_Type,Item_Visibility,Item_Weight,Outlet_Establishment_Year,Outlet_Identifier,Outlet_Years,Item_Visibility_MeanRatio,Identifier,Item_Fat_Content_0,Item_Fat_Content_1,Outlet_Location_Type_0,Outlet_Location_Type_1,Outlet_Location_Type_2,Outlet_Size_0,Outlet_Size_1,Outlet_Size_2,Outlet_Type_0,Outlet_Type_1,Outlet_Type_2,Outlet_Type_3,Item_Type_Combined_Drinks,Item_Type_Combined_Food,Item_Type_Combined_Non-Consumable,Outlet_0,Outlet_1,Outlet_2,Outlet_3,Outlet_4,Outlet_5,Outlet_6,Outlet_7,Outlet_8,Outlet_9
FDA15,249.8092,3735.138,4,0.016047301,9.3,1999,OUT049,19,0.2433150047957991,156,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
DRC01,48.2692,443.4228,14,0.019278216,5.92,2009,OUT018,9,0.29230331122314285,8,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
FDN15,141.618,2097.27,10,0.016760075,17.5,1999,OUT049,19,0.25412234300353387,662,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
FDX07,182.095,732.38,6,0.0,19.2,1998,OUT010,20,0.0,1121,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
NCD19,53.8614,994.7052,9,0.0,8.93,1987,OUT013,31,0.0,1297,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
FDP36,51.4008,556.6088,0,0.0,10.395,2009,OUT018,9,0.0,758,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
FDO10,57.6588,343.5528,13,0.012741089,13.65,1987,OUT013,31,0.19318501791290033,696,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
FDP10,107.7622,4022.7636,13,0.127469857,12.792854228644991,1985,OUT027,33,1.9327442581948717,738,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
FDH17,96.9726,1076.5986,5,0.016687114,16.2,2002,OUT045,16,0.2530160818282181,440,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
FDU28,187.8214,4710.535,5,0.09444959,19.2,2007,OUT017,11,1.4320789797493834,990,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
FDY07,45.5402,1516.0266,6,0.0,11.8,1999,OUT049,19,0.0,1171,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
FDA03,144.1102,2187.153,4,0.045463773,18.5,1997,OUT046,21,0.6893382348552022,147,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
FDX32,145.4786,1589.2646,6,0.1000135,15.1,1999,OUT049,19,1.5164410035148375,1142,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
FDS46,119.6782,2145.2076,13,0.047257328,17.6,1997,OUT046,21,0.7165327670339486,904,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
FDF32,196.4426,1977.426,6,0.0680243,16.35,1987,OUT013,31,1.0314091373204053,375,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
FDP49,56.3614,1547.3192,2,0.069088961,9.0,1997,OUT046,21,1.047551913997985,767,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
NCB42,115.3492,1621.8888,8,0.008596051,11.8,2009,OUT018,9,0.13033644662675262,1280,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
FDP49,54.3614,718.3982,2,0.069196376,9.0,1999,OUT049,19,1.0491805792321038,767,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
DRI11,113.2834,2303.668,7,0.034237682,12.792854228644991,1985,OUT027,33,0.5191241667385091,79,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
FDU02,230.5352,2748.4224,4,0.10249212,13.35,2004,OUT035,14,1.554022739981734,968,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
FDN22,250.8724,3775.086,13,0.138190277,18.85,1987,OUT013,31,2.0952911589922696,666,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
FDW12,144.5444,4064.0432,0,0.035399923,12.792854228644991,1985,OUT027,33,0.5367464868089605,1076,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
NCB30,196.5084,1587.2672,9,0.025698134,14.6,2004,OUT035,14,0.3896444391149071,1278,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
FDC37,107.6938,214.3876,0,0.057556998,12.792854228644991,1985,OUT019,33,0.8727001035502355,259,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
FDR28,165.021,4078.025,5,0.025896485,13.85,1997,OUT046,21,0.39265190900135416,843,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
NCD06,45.906,838.908,9,0.099887103,13.0,2007,OUT017,11,1.5145245263040483,1294,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
FDV10,42.3112,1065.28,13,0.066693437,7.645,2004,OUT035,14,1.011230109256586,1024,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
DRJ59,39.1164,308.9312,7,0.019356132,11.65,1987,OUT013,31,0.29348470190769904,101,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
FDE51,45.5086,178.4344,4,0.161466534,5.925,1998,OUT010,20,2.4482142196105787,350,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
FDC14,43.6454,125.8362,3,0.072221801,12.792854228644991,1985,OUT019,33,1.0950531716627143,244,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
FDV38,55.7956,163.7868,4,0.170348551,19.25,1998,OUT010,20,2.582886586568198,1048,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
NCS17,96.4436,2741.7644,8,0.080829372,18.6,2009,OUT018,9,1.2255642887125646,1480,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
FDP33,256.6672,3068.0064,13,0.0,18.7,2009,OUT018,9,0.0,756,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
FDO23,93.1436,2174.5028,1,0.0,17.85,2002,OUT045,16,0.0,706,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
